aTime,bx-Axis,cy-Axis,dz-Axis
15616.0,-0.04185,0.15395,0.94034
15720.0,-0.04172,0.15399,0.9402
15824.0,-0.0418,0.15387,0.94013
15928.0,-0.04166,0.15406,0.94018
16032.0,-0.04176,0.15381,0.94032
16136.0,-0.04188,0.15403,0.9403
16240.0,-0.04169,0.15393,0.94034
16344.0,-0.04179,0.15393,0.94036
16448.0,-0.04175,0.15381,0.94041
16552.0,-0.04158,0.1537,0.9403
16656.0,-0.04159,0.15377,0.94039
16760.0,-0.0418,0.15385,0.94029
16864.0,-0.04192,0.15378,0.94046
16968.0,-0.04159,0.15403,0.94024
17072.0,-0.04166,0.15384,0.94034
17176.0,-0.04175,0.15413,0.94044
17280.0,-0.04176,0.15383,0.94037
17384.0,-0.04195,0.15407,0.94044
17488.0,-0.04156,0.1539,0.94025
17592.0,-0.04192,0.15416,0.9403
17696.0,-0.0418,0.15401,0.94016
17800.0,-0.04153,0.15397,0.9402
17904.0,-0.04179,0.15397,0.94039
18008.0,-0.04186,0.15434,0.94032
18112.0,-0.04156,0.15381,0.94025
18216.0,-0.04174,0.15415,0.94024
18320.0,-0.04176,0.15407,0.94034
18424.0,-0.04166,0.15392,0.94021
18528.0,-0.04184,0.15413,0.94035
18632.0,-0.04164,0.15428,0.94028
18736.0,-0.04165,0.154,0.94028
18840.0,-0.04181,0.15407,0.9403
18944.0,-0.04182,0.15406,0.94046
19048.0,-0.04163,0.15414,0.94043
19152.0,-0.04167,0.15391,0.94004
19256.0,-0.04178,0.15407,0.94024
19360.0,-0.04167,0.15417,0.94012
19464.0,-0.04178,0.15393,0.94017
19568.0,-0.04171,0.15409,0.94031
19672.0,-0.0416,0.15382,0.94026
19776.0,-0.042,0.15403,0.94047
19880.0,-0.04163,0.15387,0.94032
19984.0,-0.0418,0.15406,0.9401
20088.0,-0.04151,0.15374,0.94008
20192.0,-0.04181,0.15394,0.94017
20296.0,-0.0417,0.15389,0.93988
20400.0,-0.04149,0.15392,0.94014
20504.0,-0.04156,0.15412,0.9401
20608.0,-0.04163,0.15403,0.94034
20712.0,-0.04167,0.15404,0.94021
20816.0,-0.04164,0.15398,0.94021
20920.0,-0.04154,0.15407,0.94018
21024.0,-0.04177,0.15406,0.94017
21128.0,-0.04164,0.15418,0.9401
21232.0,-0.04187,0.15426,0.94024
21336.0,-0.04154,0.15388,0.94001
21440.0,-0.04172,0.15414,0.94014
21544.0,-0.04176,0.15401,0.94018
21648.0,-0.04177,0.1541,0.94021
21752.0,-0.04179,0.15395,0.94017
21856.0,-0.04167,0.15386,0.94017
21960.0,-0.04184,0.15422,0.94031
22064.0,-0.04156,0.15414,0.94022
22168.0,-0.04172,0.15401,0.94028
22272.0,-0.04145,0.15387,0.94014
22376.0,-0.04199,0.15406,0.94034
22480.0,-0.0417,0.1539,0.94028
22591.0,-0.04164,0.15393,0.9402
22695.0,-0.04173,0.15401,0.94004
22799.0,-0.04185,0.15405,0.94002
22903.0,-0.04174,0.15406,0.9401
23007.0,-0.04187,0.1542,0.94031
23111.0,-0.04172,0.15415,0.9402
23215.0,-0.04173,0.15399,0.94018
23319.0,-0.04188,0.15432,0.9402
23423.0,-0.04176,0.15422,0.94021
23527.0,-0.04158,0.15432,0.94024
23631.0,-0.04186,0.15427,0.94014
23735.0,-0.0416,0.15421,0.94019
23839.0,-0.04183,0.15429,0.9404
23943.0,-0.04152,0.15415,0.94022
24047.0,-0.04176,0.15432,0.94035
24151.0,-0.04156,0.15407,0.94024
24255.0,-0.04169,0.15421,0.94024
24359.0,-0.04176,0.15421,0.94033
24463.0,-0.04141,0.15421,0.94012
24567.0,-0.04162,0.15415,0.94012
24671.0,-0.04167,0.15405,0.94024
24775.0,-0.04173,0.15427,0.94024
24879.0,-0.04174,0.15424,0.94037
24983.0,-0.04176,0.15429,0.94024
25087.0,-0.04167,0.15419,0.94011
25191.0,-0.04173,0.15423,0.94031
25295.0,-0.04184,0.15441,0.94047
25399.0,-0.04173,0.15416,0.9403
25503.0,-0.04159,0.15429,0.94026
25607.0,-0.04158,0.15384,0.9403
25711.0,-0.04186,0.1541,0.94045
25815.0,-0.04166,0.15376,0.94029
25919.0,-0.04155,0.15399,0.94033
26023.0,-0.04146,0.15391,0.94019
26127.0,-0.0416,0.15402,0.9402
26231.0,-0.04186,0.15414,0.94034
26335.0,-0.04161,0.15395,0.9403
26439.0,-0.04165,0.15412,0.94026
26543.0,-0.0417,0.15407,0.94033
26647.0,-0.04144,0.15404,0.9403
26751.0,-0.04179,0.15437,0.94046
26855.0,-0.0416,0.15394,0.94028
26959.0,-0.04181,0.15396,0.94015
27063.0,-0.04172,0.15414,0.94032
